keyword,date,page,position,title,author,publisher,pages,publication_date,sales_rank,image,asin,,,,,,,
drug history,00:27.5,10,99,All Over but the Shoutin',Rick Bragg,Vintage,353,00:00.0,41753,https://images-na.ssl-images-amazon.com/images/I/519vZcc5zRL._SL75_.jpg,B003YJEXRK,,,,,,,
drug history,00:17.5,1,4,"A Narco History: How the United States and Mexico Jointly Created the Mexican Drug War""""",Carmen Boullosa,OR Books,255,00:00.0,166278,https://images-na.ssl-images-amazon.com/images/I/61AxHTtB1dL._SL75_.jpg,B01LZ3PB8B,,,,,,,
drug history,00:17.5,1,8,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,"Little, Brown and Company",760,00:00.0,4540,https://images-na.ssl-images-amazon.com/images/I/41S2y8O6oXL._SL75_.jpg,B00BAXFECK,,,,,,,
drug history,00:18.6,2,12,The Line Becomes a River: Dispatches from the Border,Francisco Cant??,Riverhead Books,288,00:00.0,12912,https://images-na.ssl-images-amazon.com/images/I/41xA9GCRrvL._SL75_.jpg,B072SSGP1K,,,,,,,
drug history,00:18.6,2,16,An American Summer: Love and Death in Chicago,Alex Kotlowitz,Nan A. Talese,282,00:00.0,14397,https://images-na.ssl-images-amazon.com/images/I/51yCSoJDP2L._SL75_.jpg,B07DMZMYQN,,,,,,,
drug history,00:18.6,2,20,Chasing the Scream: The First and Last Days of the War on Drugs,Johann Hari,Bloomsbury USA,404,00:00.0,1867,https://images-na.ssl-images-amazon.com/images/I/51345h-XnuL._SL75_.jpg,B00OZM4ANM,,,,,,,
drug history,00:19.8,3,24,Scar Tissue,Anthony Kiedis,Hachette Books,480,00:00.0,35399,https://images-na.ssl-images-amazon.com/images/I/51EPxc4Zk2L._SL75_.jpg,B000FC2KL0,,,,,,,
drug history,00:19.8,3,28,MAYAN STAR,Howard Allan,NULL,293,00:00.0,2310,https://images-na.ssl-images-amazon.com/images/I/51ygiMGDvnL._SL75_.jpg,B07CYXG79Z,,,,,,,
drug history,00:21.0,4,32,Arden (Undercover Billionaire Book 2),Melody Anne,Montlake Romance,248,00:00.0,3902,https://images-na.ssl-images-amazon.com/images/I/51SXI3LfJEL._SL75_.jpg,B078XB6GXN,,,,,,,
drug history,00:21.0,4,36,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,Vintage,93,00:00.0,21250,https://images-na.ssl-images-amazon.com/images/I/51xwUF92c4L._SL75_.jpg,B003WUYQG4,,,,,,,
drug history,00:21.0,4,40,Thanks a Lot Mr Kibblewhite: My Story,Roger Daltrey,Henry Holt and Co.,253,00:00.0,37995,https://images-na.ssl-images-amazon.com/images/I/51EwZOqS%2BHL._SL75_.jpg,B079DVT6VM,,,,,,,
drug history,00:22.0,5,44,"Scarface and the Untouchable: Al Capone, Eliot Ness, and the Battle for Chicago",Max Allan Collins,William Morrow,739,00:00.0,21483,https://images-na.ssl-images-amazon.com/images/I/519j4a32YpL._SL75_.jpg,B0728GJ6W5,,,,,,,
drug history,00:22.0,5,48,"Dirty Like Brody: A Dirty Rockstar Romance (Dirty, Book 2)",Jaine Diamond,DreamWarp Books,410,00:00.0,2074,https://images-na.ssl-images-amazon.com/images/I/51pSgAJwE1L._SL75_.jpg,B071WMS5PG,,,,,,,
drug history,00:23.1,6,52,So You've Been Publicly Shamed,Jon Ronson,Riverhead Books,306,00:00.0,68409,https://images-na.ssl-images-amazon.com/images/I/51fnLVcBQIL._SL75_.jpg,B00L9B7IRC,,,,,,,
drug history,00:23.1,6,56,"Above Suspicion: An Undercover FBI Agent, an Illicit Affair, and a Murder of Passion",Joe Sharkey,Open Road Media,394,00:00.0,7450,https://images-na.ssl-images-amazon.com/images/I/51rFpdmIZXL._SL75_.jpg,B01N49MWZH,,,,,,,
drug history,00:23.1,6,60,"Runnin' with the Devil: A Backstage Pass to the Wild Times, Loud Rock, and the Down and Dirty Truth Behind the Making of Van Halen",Noel Monk,Dey Street Books,371,00:00.0,44889,https://images-na.ssl-images-amazon.com/images/I/61a7hmzdp2L._SL75_.jpg,B01HM27IEO,,,,,,,
drug history,00:24.2,7,64,Cannabis: The Illegalization of Weed in America,Box Brown,First Second,256,00:00.0,210392,https://images-na.ssl-images-amazon.com/images/I/51dNLavPj7L._SL75_.jpg,B07PH8PSQM,,,,,,,
drug history,00:24.2,7,68,Milk of Paradise: A History of Opium,Lucy Inglis,Pegasus Books,464,00:00.0,40755,https://images-na.ssl-images-amazon.com/images/I/41AB8iia3iL._SL75_.jpg,B07GRSGK8X,,,,,,,
drug history,00:25.4,8,72,Valley of the Dolls: 50th Anniversary Edition,Jacqueline Susann,Tiger LLC,454,00:00.0,30567,https://images-na.ssl-images-amazon.com/images/I/41sglX9IpqL._SL75_.jpg,B01E1QW4KC,,,,,,,
drug history,00:25.4,8,76,Badlands: A Novel (Highway Quartet Book 3),C.J. Box,Minotaur Books,384,00:00.0,27243,https://images-na.ssl-images-amazon.com/images/I/51IoWrFCN8L._SL75_.jpg,B00S52ARYY,,,,,,,
drug history,00:25.4,8,80,The Pope of Palm Beach: A Novel (Serge Storms Book 21),Tim Dorsey,William Morrow,357,00:00.0,40822,https://images-na.ssl-images-amazon.com/images/I/51L8t4k3LKL._SL75_.jpg,B072HFRNZY,,,,,,,
drug history,00:26.4,9,84,The Disordered Mind: What Unusual Brains Tell Us About Ourselves,Eric R. Kandel,"Farrar, Straus and Giroux",304,00:00.0,219593,https://images-na.ssl-images-amazon.com/images/I/41WKOGI7JVL._SL75_.jpg,B078X2S62B,,,,,,,
drug history,00:26.4,9,88,Heaven and Hell: My Life in the Eagles (1974-2001),Don Felder,Wiley,378,00:00.0,155008,https://images-na.ssl-images-amazon.com/images/I/51EHEt8R9rL._SL75_.jpg,B00DNKY9HE,,,,,,,
drug history,00:27.5,10,92,Forces of Habit: Drugs and the Making of the Modern World,David T. COURTWRIGHT,Harvard University Press,289,00:00.0,632365,https://images-na.ssl-images-amazon.com/images/I/51UccEtMHaL._SL75_.jpg,B003VPWXXI,,,,,,,
drug history,00:27.5,10,96,Caddyshack: The Making of a Hollywood Cinderella Story,Chris Nashawaty,Flatiron Books,286,00:00.0,60092,https://images-na.ssl-images-amazon.com/images/I/51TQrpqk1sL._SL75_.jpg,B0763SFWP6,,,,,,,
drug history,00:27.5,10,100,A Piece of Cake: A Memoir,Cupcake Brown,Broadway Books,480,00:00.0,123986,https://images-na.ssl-images-amazon.com/images/I/61zG7DWQPEL._SL75_.jpg,B000FCKPGM,,,,,,,
drug history,00:17.5,1,2,"The Drug Book: From Arsenic to Xanax, 250 Milestones in the History of Drugs (Sterling Milestones)",Michael C. Gerald,Sterling,528,00:00.0,588588,https://images-na.ssl-images-amazon.com/images/I/51k7xBhLBPL._SL75_.jpg,B0751HJ28R,,,,,,,
drug history,00:17.5,1,6,"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan,Penguin Press,477,00:00.0,1605,https://images-na.ssl-images-amazon.com/images/I/41sTsjR3bcL._SL75_.jpg,B076GPJXWZ,,,,,,,
drug history,00:17.5,1,10,The New Jim Crow,Michelle Alexander,The New Press,338,00:00.0,15332,https://images-na.ssl-images-amazon.com/images/I/41iAfShHmqL._SL75_.jpg,B0067NCQVU,,,,,,,
drug history,00:18.6,2,14,The Power of the Dog (Power of the Dog Series Book 1),Don Winslow,Vintage Crime/Black Lizard,560,00:00.0,2332,https://images-na.ssl-images-amazon.com/images/I/51Ha4TItvML._SL75_.jpg,B000FCK42M,,,,,,,
drug history,00:18.6,2,18,"Alex, Approximately",Jenn Bennett,Simon Pulse,416,00:00.0,22315,https://images-na.ssl-images-amazon.com/images/I/51WiGOmuOlL._SL75_.jpg,B01GD9CJ64,,,,,,,
drug history,00:19.8,3,22,The Ruin: A Novel,Dervla McTiernan,Penguin Books,400,00:00.0,15549,https://images-na.ssl-images-amazon.com/images/I/51ZeJaPF5UL._SL75_.jpg,B077CQCG7D,,,,,,,
drug history,00:19.8,3,26,Hunting LeRoux: The Inside Story of the DEA Takedown of a Criminal Genius and His Empire,Elaine Shannon,William Morrow,368,00:00.0,11858,https://images-na.ssl-images-amazon.com/images/I/51s%2BGC7pEML._SL75_.jpg,B079WVBLML,,,,,,,
drug history,00:19.8,3,30,Dreamland: The True Tale of America's Opiate Epidemic,Sam Quinones,Bloomsbury Press,383,00:00.0,7456,https://images-na.ssl-images-amazon.com/images/I/51x56REyXrL._SL75_.jpg,B00U19DTS0,,,,,,,
drug history,00:21.0,4,34,The Drug Hunters: The Improbable Quest to Discover New Medicines,Donald R. Kirsch,Arcade,304,00:00.0,270332,https://images-na.ssl-images-amazon.com/images/I/41m3CUMB00L._SL75_.jpg,B01HDVCRY0,,,,,,,
drug history,00:21.0,4,38,Snow Crash: A Novel,Neal Stephenson,Spectra,480,00:00.0,10963,https://images-na.ssl-images-amazon.com/images/I/51yI5lXG7IL._SL75_.jpg,B000FBJCJE,,,,,,,
drug history,00:22.0,5,42,Fearless: The Undaunted Courage and Ultimate Sacrifice of Navy SEAL Team SIX Operator Adam Brown,Eric Blehm,WaterBrook,274,00:00.0,39110,https://images-na.ssl-images-amazon.com/images/I/51RV7Etv9NL._SL75_.jpg,B006ZAZ31U,,,,,,,
drug history,00:22.0,5,46,Hell's Angels: A Strange and Terrible Saga,Hunter S. Thompson,Ballantine Books,283,00:00.0,26806,https://images-na.ssl-images-amazon.com/images/I/51WwckOYyQL._SL75_.jpg,B008IU9IVG,,,,,,,
drug history,00:22.0,5,50,The Common Good,Robert B. Reich,Vintage,209,00:00.0,49860,https://images-na.ssl-images-amazon.com/images/I/41wGoM-vbmL._SL75_.jpg,B077X2KT9G,,,,,,,
